"Resource URL","Resource Type","New File Name"
"https://mega-roms.vercel.app/_next/static/chunks/6874-6d2b021c949f9ce8.js","Script","Files\6874-6d2b021c949f9ce8(4).js"
"https://mega-roms.vercel.app/_next/static/chunks/6424-f7bf7ce80bdb1c1c.js","Script","Files\6424-f7bf7ce80bdb1c1c(4).js"
"https://mega-roms.vercel.app/android15/","Web Page","Files\android15"
"https://mega-roms.vercel.app/images/rom-placeholder.png","Image","Files\rom-placeholder.png"
"https://mega-roms.vercel.app/images/roms/Hyper2.jpg","Image","Files\Hyper2.jpg"
"https://mega-roms.vercel.app/images/roms/Hyper21.jpg","Image","Files\Hyper21.jpg"
"https://mega-roms.vercel.app/images/roms/Hyper22.jpg","Image","Files\Hyper22.jpg"
"https://mega-roms.vercel.app/images/roms/Hyper23.jpg","Image","Files\Hyper23.jpg"
"https://mega-roms.vercel.app/images/roms/Hyper24.jpg","Image","Files\Hyper24.jpg"
"https://mega-roms.vercel.app/images/roms/SpiderUI.jpg","Image","Files\SpiderUI.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS3.jpg","Image","Files\MegaOS3.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS4.jpg","Image","Files\MegaOS4.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS5.jpg","Image","Files\MegaOS5.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS6.jpg","Image","Files\MegaOS6.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS7.jpg","Image","Files\MegaOS7.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS8.jpg","Image","Files\MegaOS8.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS9.jpg","Image","Files\MegaOS9.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS10.jpg","Image","Files\MegaOS10.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS11.jpg","Image","Files\MegaOS11.jpg"
"https://mega-roms.vercel.app/images/roms/MegaOS12.jpg","Image",""
